Gold Question	Modified Question	User Score 1	User Score 2
what movies did Mary Steenburgen act in ?	what movies did Mary Steenburgen ?	3	4
what movies did Nick Mancuso act in ?	what movies did Nick Mancuso ?	3	3
what does John Canada Terrell star in ?	what does John Canada Terrell ?	3	3
what films did Dustin Nguyen star in ?	what films did Dustin Nguyen ?	3	3
what movies was Patricia Wettig an actor in ?	what movies Patricia Wettig an ?	3	3
what does Brad Dourif appear in ?	what Brad Dourif appear ?	4	4
Joe Thomas appears in which movies ?	Joe Thomas in which movies ?	3	3
what films did Tracy Pollan act in ?	what films did Tracy Pollan in ?	4	3
what does Yoshihiro Nishimura star in ?	whose Yoshihiro Nishimura star in ?	4	4
what does Ricky Gervais star in ?	what does Ricky Gervais in ?	3	3
Rigoberto Castañeda was the director on which movies ?	Rigoberto Castañeda was the on which movies ?	3	3
what films does Julian Sands appear in ?	how does Julian Sands appear in ?	3	3
what movies did Hope Lange star in ?	why did Hope Lange star in ?	5	3
what was Gerald Potterton the director of ?	why Gerald Potterton the director of ?	2	3
what movies did Mike White star in ?	whose did Mike White star in ?	4	3
what movies was Yvette Vickers an actor in ?	why was Yvette Vickers an actor in ?	2	3
can you name a film directed by Stuart Ortiz ?	can you name a film Stuart Ortiz ?	3	3
Stuart Cooper was the director of which films ?	Stuart Cooper was the director of Why ?	5	3
what films did C. Aubrey Smith act in ?	Where did C. Aubrey Smith act in ?	5	3
which films did Nora Ephron direct ?	Why did Nora Ephron direct ?	3	3
what does Richard Boone act in ?	what Richard Boone act ?	4	4
what movies did Tom Hulce star in ?	what movies Tom Hulce star ?	5	5
what films did Paul Panzer star in ?	What did Paul Panzer star in ?	4	4
what films does Ryan Gosling appear in ?	what films Ryan Gosling appear ?	5	5
which movie was Priyadarshan the director for ?	When was Priyadarshan the director for ?	4	3
what movies did Walter Cronkite star in ?	what movies did Walter Cronkite ?	3	3
what films does Ben Mendelsohn appear in ?	what films does Ben Mendelsohn ?	3	3
what was Nancy Meckler the director of ?	what Nancy Meckler director ?	4	4
Tim Fehlbaum was the director of which movies ?	Tim Fehlbaum which movies ?	3	3
Art Linson directed which movies ?	Art Linson which movies ?	3	3
what movies did Jean Gabin act in ?	what movies did Jean Gabin ?	3	3
what films did Phil Lord direct ?	Why did Phil Lord direct ?	3	3
which films did Chris Eigeman direct ?	which films did Chris Eigeman ?	3	3
which movies did Vicente Amorim direct ?	which movies did Vicente Amorim ?	3	3
which films did Nora Ephron direct ?	Why did Nora Ephron direct ?	3	3
Eric Byler directed which films ?	Eric Byler directed Where ?	5	4
what movies did Aditya Datt direct ?	what movies did Aditya Datt ?	3	4
what did Neil Diamond direct ?	what did direct ?	2	2
which films did Chris Eigeman direct ?	what did Chris Eigeman direct ?	5	4
David Mingay was the director of which films ?	David Mingay was the director of where ?	5	3
what does Olivia Munn appear in ?	what Olivia Munn appear ?	4	4
what does Stéphane Aubier star in ?	which Stéphane Aubier star in ?	4	4
what did Susanna Styron direct ?	what did Susanna Styron ?	2	2
what does Ximena Ayala appear in ?	what does Ximena Ayala in ?	3	3
Jack Palance appears in which movies ?	appears in which movies ?	2	2
Judi Dench appears in which movies ?	Judi Dench appears in how ?	3	4
what movies did Maury Chaykin star in ?	when did Maury Chaykin star in ?	2	3
which films did Ib Melchior direct ?	which films did direct ?	2	2
what was Franklin J. Schaffner the director of ?	what was the director of ?	2	2
which movie was Jesse V. Johnson the director for ?	which movie was the director for ?	2	2
which movie was Lance Comfort the director for ?	which movie was the director for ?	2	2
what movies did Wilfred Pickles star in ?	what movies did star in ?	2	2
which films did Paul Greengrass direct ?	which films did Paul Greengrass ?	3	3
what movies did Stephen Elliott direct ?	what movies did direct ?	2	2
which movie was Savage Steve Holland the director for ?	which movie was Savage Steve Holland the for ?	3	3
which films did Stephen Tolkin direct ?	which films did direct ?	2	2
what films did Alexis Bledel star in ?	what films did star in ?	2	2
what movies was David McLean an actor in ?	Why was David McLean an actor in ?	3	3
what films did Jimmy Durante star in ?	what films did Jimmy Durante ?	3	3
what films does Richard Dutcher appear in ?	Which does Richard Dutcher appear in ?	4	4
what does Wally Cox appear in ?	Where Wally Cox appear in ?	3	3
what movies was Nick Broomfield an actor in ?	what movies Nick Broomfield actor ?	5	4
what does Walter Steiner act in ?	Why Walter Steiner act in ?	4	3
what does Monica Bellucci star in ?	what Monica Bellucci star ?	4	4
what does Elke Sommer appear in ?	what does Elke Sommer ?	3	3
what does Spencer Treat Clark appear in ?	what does Spencer Treat Clark ?	3	3
Orlando Jones appears in which movies ?	Orlando Jones appears in When ?	4	5
what does John Boles act in ?	what does John Boles ?	2	3
what films did Tony Todd act in ?	What did Tony Todd act in ?	4	3
what films did Harrison Gilbertson star in ?	what films Harrison Gilbertson star ?	5	5
what films did Carlos Mencia act in ?	what films did Carlos Mencia in ?	3	3
what movies did Roger Avary direct ?	where did Roger Avary direct ?	3	3
Drew Tobia directed which films ?	Drew Tobia directed which films ?	5	5
what movies did Richard Dawkins act in ?	when did Richard Dawkins act in ?	3	3
Gustav Fröhlich appears in which movies ?	Gustav Fröhlich in which movies ?	3	3
what films did Mia Sara act in ?	what films did Mia Sara in ?	3	3
what films did Freddy Flores act in ?	what films did Freddy Flores in ?	3	3
what movies did Aditya Datt direct ?	whose did Aditya Datt direct ?	4	4
what does Stephen Mendillo star in ?	What Stephen Mendillo star in ?	4	4
which films did Morgan Freeman direct ?	which films Morgan Freeman direct ?	5	5
which movie was Tom Brady the director for ?	whose was Tom Brady the director for ?	4	4
what movies did James Shigeta star in ?	what movies did James Shigeta in ?	3	3
Richard Armitage appears in which movies ?	Richard Armitage appears in where ?	5	2
what films did Ina Balin act in ?	what films did Ina Balin in ?	3	3
what films does Chief Dan George appear in ?	where does Chief Dan George appear in ?	3	3
what does Beatrice Lillie act in ?	which Beatrice Lillie act in ?	4	4
what films does Jodie Foster appear in ?	what films Jodie Foster appear ?	5	4
what is a film directed by Assaf Bernstein ?	why a film directed by Assaf Bernstein ?	4	3
what films does Creighton Hale appear in ?	how does Creighton Hale appear in ?	2	3
what does Richard White act in ?	what Richard White act ?	4	4
what movies did Wesley Jonathan star in ?	how did Wesley Jonathan star in ?	3	2
what does Kiefer Sutherland star in ?	how Kiefer Sutherland star in ?	3	2
what movies did Don Megowan act in ?	whose did Don Megowan act in ?	4	4
what does Cheryl Hines star in ?	where Cheryl Hines star in ?	2	3
what films did Emile Hirsch star in ?	what films Emile Hirsch star ?	5	4
what films did Michael Latimer act in ?	what films Michael Latimer act ?	5	5
what films did Roger Bart star in ?	whose did Roger Bart star in ?	4	4
what films did Natalie McCurry star in ?	what films Natalie McCurry star ?	5	5
what movies did Tomoyasu Hotei act in ?	what movies Tomoyasu Hotei act ?	5	4
what movies did Beatriz Batarda act in ?	what movies did Beatriz Batarda ?	3	3
what movies did Fiona Dourif star in ?	what movies did Fiona Dourif ?	3	3
what was David Miller the director of ?	what David Miller director ?	4	4
what is a film directed by Hiroshi Inagaki ?	what film directed Hiroshi Inagaki ?	5	5
which movie was Shinji Aramaki the director for ?	which movie Shinji Aramaki director ?	5	5
which movie was Catherine Hardwicke the director for ?	which movie Catherine Hardwicke director ?	5	5
Robert Klane was the director on which movies ?	Robert Klane director which movies ?	5	5
Icíar Bollaín was the director of which films ?	Icíar Bollaín director which films ?	4	5
Eric Wareheim appears in which movies ?	Eric Wareheim appears in Why ?	4	3
what films did Marion Bailey star in ?	Where did Marion Bailey star in ?	3	3
Roger Moore appears in which movies ?	Roger Moore appears in Which ?	4	4
what movies did Charles Fleischer act in ?	what movies Charles Fleischer act ?	5	4
what films did Peter Schønau Fog direct ?	why did Peter Schønau Fog direct ?	5	3
what films does Minka Kelly appear in ?	what films Minka Kelly appear ?	5	5
what films did Emile Hirsch star in ?	what films Emile Hirsch star ?	5	5
what movies did Chase Williamson act in ?	what movies did Chase Williamson in ?	3	3
what does Alan Van Sprang act in ?	what Alan Van Sprang act ?	3	3
1: Yes	what films Yukiko Kobayashi star ?	5	4
what movies did Cher act in ?	what movies Cher act ?	5	4
what does JoBeth Williams appear in ?	what JoBeth Williams appear ?	4	4
what was Ricou Browning the director of ?	what Ricou Browning director ?	2	4
what does Reika Hashimoto act in ?	which Reika Hashimoto act in ?	4	4
what films did Diego Luna star in ?	what films did Diego Luna ?	3	3
what films does Hugues Quester appear in ?	what films Hugues Quester appear ?	5	5
what movies did Anna Drijver star in ?	what movies Anna Drijver star ?	5	5
Thom Andersen was the director of which films ?	Thom Andersen director which films ?	5	4
what films did Dave Boyle direct ?	what films Dave Boyle direct ?	5	4
what films did John Gavin act in ?	what films John Gavin act ?	5	4
what movies was Kris Kristofferson an actor in ?	what movies was Kris Kristofferson an in ?	3	3
what does Catherine McCormack star in ?	when Catherine McCormack star in ?	4	3
what does Doug Collins star in ?	why Doug Collins star in ?	3	3
Kate Davis was the director on which movies ?	Kate Davis was the on which movies ?	3	3
what films does Gerard Butler appear in ?	how does Gerard Butler appear in ?	2	2
what movies did Wesley Strick direct ?	what movies Wesley Strick direct ?	5	5
what films did Scott Thurman direct ?	which did Scott Thurman direct ?	4	4
Cate Shortland was the director on which movies ?	Cate Shortland director which movies ?	5	5
what movies was Nelly Alard an actor in ?	what movies Nelly Alard actor ?	5	5
what is a film directed by Eddie Murphy ?	Which a film directed by Eddie Murphy ?	5	5
what does Minase Yashiro star in ?	Where Minase Yashiro star in ?	2	3
what does Patty Duke star in ?	Where Patty Duke star in ?	5	4
Eliza Hittman was the director of which movies ?	Eliza Hittman was the director of When ?	5	3
what does Marcus Patrick star in ?	what Marcus Patrick star ?	5	4
what movies did Season Hubley act in ?	what movies did Season Hubley ?	3	3
what movies was Ginny Simms an actor in ?	When was Ginny Simms an actor in ?	3	3
what movies did Liesel Matthews star in ?	what movies did Liesel Matthews ?	3	3
what films did Jon Huertas star in ?	what films did Jon Huertas ?	3	3
what movies did Joan Baez act in ?	what movies Joan Baez act ?	5	5
what films did Paul Robeson star in ?	Which did Paul Robeson star in ?	4	4
what films did Peggy Ashcroft act in ?	what films Peggy Ashcroft act ?	5	5
Barry Foster appears in which movies ?	Barry Foster appears which movies ?	5	5
what movies did Barbara Sheldon act in ?	what movies Barbara Sheldon act ?	5	4
what does Phyllis Barry act in ?	When Phyllis Barry act in ?	3	3
what films did Betsy Brantley act in ?	what films Betsy Brantley act ?	5	4
Jay Anania directed which movies ?	Jay Anania directed which movies ?	5	5
what movies did Mari Natsuki star in ?	where did Mari Natsuki star in ?	5	3
Curtis Hanson directed which movies ?	Curtis Hanson which movies ?	3	3
what films did Kyle Gallner act in ?	what films Kyle Gallner act ?	5	4
what movies did Thorley Walters act in ?	what movies did act in ?	2	2
what movies did Heather Ann Davis star in ?	what movies Heather Ann Davis star ?	5	5
Randa Haines directed which movies ?	Randa Haines which movies ?	3	3
which films did Ida Lupino direct ?	which films did Ida Lupino ?	3	3
which films did Justin Theroux direct ?	which films did Justin Theroux ?	3	3
what movies did Melanie Mayron star in ?	what movies did Melanie Mayron in ?	3	3
what movies did Doris Dowling act in ?	what movies Doris Dowling act ?	5	5
what films did Shahid Kapoor act in ?	what films Shahid Kapoor act ?	5	5
what movies did Tomoyasu Hotei act in ?	what movies Tomoyasu Hotei act ?	5	5
what movies was Tim McGraw an actor in ?	what movies Tim McGraw actor ?	5	5
Martin Udvarnoky appears in which movies ?	Martin Udvarnoky appears which movies ?	5	5
which films did Adam Fields direct ?	which films Adam Fields direct ?	5	4
Sam Kadi directed which movies ?	Sam Kadi directed which movies ?	5	5
what movies did Eion Bailey act in ?	what movies Eion Bailey act ?	5	4
what films did Dave Boyle direct ?	what films Dave Boyle direct ?	5	4
which movies did Christopher Scott Cherot direct ?	which movies Christopher Scott Cherot direct ?	5	5
what movies did Anna Paquin star in ?	what movies Anna Paquin star ?	5	5
can you name a film directed by Stuart Ortiz ?	can you name a film by Stuart Ortiz ?	5	5
what films did Robin Wright act in ?	what films Robin Wright act ?	5	5
what films did Peggy Ashcroft act in ?	what films Peggy Ashcroft act ?	5	5
Tim Fehlbaum was the director of which movies ?	Tim Fehlbaum was the director of what ?	5	4
Luis García Berlanga was the director on which movies ?	Luis García Berlanga was the director on what ?	5	4
Ruggero Raimondi appears in which movies ?	Ruggero Raimondi appears which movies ?	5	4
which movie was Matt Cimber the director for ?	which movie Matt Cimber director ?	5	4
can you name a film directed by Dagur Kári ?	name film directed Dagur Kári ?	5	5
what movies did Mel Harris act in ?	where did Mel Harris act in ?	4	3
Randa Haines directed which movies ?	Randa Haines directed which movies ?	5	5
Michael Hoffman directed which films ?	Michael Hoffman directed which films ?	5	5
what films does Paul Anderson appear in ?	what films Paul Anderson appear ?	5	4
what movies was King Donovan an actor in ?	what movies King Donovan actor ?	4	5
what movies did Thorley Walters act in ?	what movies Thorley Walters act ?	5	4
Robert J. Siegel was the director on which movies ?	Robert J. Siegel director which movies ?	5	5
what movies was Vince Edwards an actor in ?	what movies Vince Edwards actor ?	5	5
can you name a film directed by Jamaa Fanaka ?	name film directed Jamaa Fanaka ?	5	5
which movie was Casper Andreas the director for ?	which movie Casper Andreas director ?	5	5
Ryan Alosio appears in which movies ?	Ryan Alosio in which movies ?	3	3
what films does Bonnie Gruesen appear in ?	which does Bonnie Gruesen appear in ?	4	4
what films did Peggie Castle act in ?	what films did Peggie Castle in ?	3	3
what films does Richard Dutcher appear in ?	what films does Richard Dutcher in ?	3	3
William H. Macy was the director of which films ?	William H. Macy was the director of what ?	4	5
what films did Diego Luna star in ?	what films did Alain Delon in ?	3	3
John Swanbeck was the director on which movies ?	John Swanbeck director which movies ?	5	4
what movies did Andrzej Bartkowiak direct ?	what movies Andrzej Bartkowiak direct ?	5	5
what movies did Dennis Widmyer direct ?	what movies Dennis Widmyer direct ?	5	5
which films did Michael Mohan direct ?	which films Michael Mohan direct ?	5	5
which films did George C. Wolfe direct ?	which films George C. Wolfe direct ?	5	5
can you name a film directed by Ernest Thompson ?	can you name a film directed by Ernest Thompson ?	5	5
which films did Jim Sharman direct ?	which films Jim Sharman direct ?	5	5
Geoff Moore directed which movies ?	Geoff Moore directed which movies ?	5	5
Nick Gomez was the director of which films ?	Nick Gomez director which films ?	5	5
which films did Sadao Yamanaka direct ?	What did Sadao Yamanaka direct ?	5	4
Malcolm Venville directed which movies ?	Malcolm Venville directed What ?	4	4
which films did Ib Melchior direct ?	which films Ib Melchior direct ?	5	5
what does Michael Hurst act in ?	when Michael Hurst act in ?	2	3
what movies was Cung Le an actor in ?	what movies Cung Le actor ?	5	5
what films did Bartosz Gelner star in ?	what films Bartosz Gelner star ?	5	4
what films does John Heard appear in ?	what films John Heard appear ?	5	4
what films did Kenneth MacKenna act in ?	what films Kenneth MacKenna act ?	5	4
what movies did Julian Arahanga star in ?	what movies Julian Arahanga star ?	5	4
what does Faye Emerson act in ?	what does Faye Emerson in ?	3	3
what does Deanna Russo act in ?	Where Deanna Russo act in ?	4	4
Robert Lepage was the director on which movies ?	Robert Lepage was the on which movies ?	3	3
what movies was Nick Broomfield an actor in ?	what movies Nick Broomfield actor ?	5	5
David Grovic was the director of which films ?	David Grovic director which films ?	5	5
which movie was Ari Taub the director for ?	whose was Ari Taub the director for ?	4	4
what films did Lorna Maitland star in ?	which did Lorna Maitland star in ?	5	4
Rémy Girard appears in which movies ?	Rémy Girard appears in what ?	4	4
what films did Bud Abbott star in ?	what films Bud Abbott star ?	5	5
what films does Peter O'Toole appear in ?	what films does Peter O'Toole in ?	4	3
what does Ron Starr star in ?	what does Ron Starr in ?	3	4
can you name a film directed by Charles Haid ?	can you name a film by Charles Haid ?	5	3
what movies did Robert Montgomery star in ?	where did Robert Montgomery star in ?	4	4
what movies did Hallee Hirsh act in ?	When did Hallee Hirsh act in ?	4	4
Seth Michael Donsky directed which movies ?	Seth Michael Donsky directed When ?	5	4
what does Clancy Brown act in ?	what does Clancy Brown in ?	3	3
what did Andrew Fleming direct ?	what Andrew Fleming direct ?	5	4
Owen Moore appears in which movies ?	Owen Moore appears in how ?	4	4
which films did Johnny Kevorkian direct ?	where did Johnny Kevorkian direct ?	5	4
what does Nancy Travis appear in ?	how Nancy Travis appear in ?	4	4
what does Conrad Janis star in ?	what does Conrad Janis in ?	3	3
what does Kaaren Verne act in ?	what Kaaren Verne act ?	4	4
what movies did Beatriz Batarda act in ?	when did Beatriz Batarda act in ?	4	4
what does Nic Campos star in ?	what Nic Campos star ?	5	4
what does Jason Cope star in ?	what does Jason Cope in ?	3	3
what does Brent Gorski star in ?	what does Brent Gorski in ?	3	3
what does Elisabetta Pozzi appear in ?	where Elisabetta Pozzi appear in ?	4	4
Jennifer Westfeldt was the director of which films ?	Jennifer Westfeldt was the director of whose ?	5	4
what movies was Michael Tully an actor in ?	what movies was Michael Tully an in ?	3	3
what does Nell Cattrysse star in ?	what Nell Cattrysse star ?	4	4
what does George Hardy star in ?	what George Hardy star ?	4	4
what films did Arjun Rampal act in ?	what films did Arjun Rampal in ?	3	3
Mikel Conrad was the director of which films ?	Mikel Conrad was the director of how ?	4	4
what films did Jimmy Durante star in ?	whose did Jimmy Durante star in ?	4	4
Youssef Chahine appears in which movies ?	Youssef Chahine appears in whose ?	4	4
what movies did John Call act in ?	when did John Call act in ?	4	4
what movies was Richard Tucker an actor in ?	what movies was Richard Tucker an in ?	3	3
what films did Stéphane Audran act in ?	when did Stéphane Audran act in ?	4	4
what did Fred Cavayé direct ?	which Fred Cavayé direct ?	5	4
Shekhar Kapur was the director on which movies ?	Shekhar Kapur was the director on Whose ?	5	4
what did Ismail Merchant direct ?	Which Ismail Merchant direct ?	5	4
what movies did Jason Bourque direct ?	what movies Jason Bourque direct ?	5	5
Gustav Fröhlich appears in which movies ?	Gustav Fröhlich appears in What ?	4	4
what movies did Marcello Pagliero star in ?	what movies did Marcello Pagliero ?	3	3
what movies was Betty Hutton an actor in ?	Which was Betty Hutton an actor in ?	5	4
what does D.L. Hughley appear in ?	what D.L. Hughley appear ?	5	4
which movie was Ari Taub the director for ?	which movie Ari Taub ?	3	3
what did Susanna Styron direct ?	what Susanna Styron direct ?	5	4
which movies did Chris Roberts direct ?	Which did Chris Roberts direct ?	5	4
what was Wayne Wang the director of ?	what Wayne Wang ?	2	3
what movies did Gwendolyn Laster act in ?	which did Gwendolyn Laster act in ?	5	4
what movies did Bob Newhart act in ?	where did Bob Newhart act in ?	4	4
Peter Werner was the director on which movies ?	was the director on which movies ?	2	2
what does Stathis Giallelis appear in ?	what does appear in ?	1	2
what movies was Margaret Cho an actor in ?	whose was Margaret Cho an actor in ?	4	4
what does Phyllis Barry act in ?	what does act in ?	1	2
can you name a film directed by Ernest Thompson ?	can you name a film by Ernest Thompson ?	5	3
what movies was Roger Perry an actor in ?	what movies was Roger Perry an in ?	4	3
what does Joseph Lawrence appear in ?	what does Joseph Lawrence in ?	3	3
Barry Foster appears in which movies ?	Barry Foster in which movies ?	3	3
