Gold Question	Modified Question	User Score 1	User Score 2
What is he touching?	What touching?	2	2
What kind of dish is this?	Are  of dish is this?	2	3
How many children are in the picture?	many children picture?	4	4
Is she on the phone?	phone?	3	3
What color is the tennis court?	What type  is the tennis court?	3	5
Is there anyone sitting at the head of the table?	Do  anyone sitting at the head of the table?	3	4
Is this taken in a zoo?	What are this taken in a zoo?	4	4
What color is the refrigerator?	Who  is the refrigerator?	3	3
Where is the bus going?	Do  is the bus going?	2	2
Is the train white?	What time  train white?	2	2
Is the animal looking at the photographer?	animal looking photographer?	2	2
Is this a fake scene setup?	Why this a fake scene setup?	4	4
Is the girls hair messy?	Is the girls hair ?	3	3
Is this salad?	Is this ?	1	1
Could this have been taken in Venice?	Could this have been taken in ?	2	2
What is the man smiling at?	Are  the man smiling at?	3	3
What kind of animals are these?	What are  of animals are these?	3	3
What material are the chairs made of?	What material are the chairs made ?	5	5
Is this a house?	house?	3	3
What brand of soft drink does the truck transport?	What are  of soft drink does the truck transport?	4	4
What object are the horses pulling?	What sport t object are the horses pulling?	3	5
What is coming around the corner?	Who  coming around the corner?	5	4
What is she laying on?	What laying on?	2	2
What is this item?	What brand  this item?	3	5
What kind of meat is shown?	Which  of meat is shown?	2	2
Is the fence wood?	What is  fence wood?	5	5
What is the photographer taking pictures of?	What is the photographer taking pictures ?	4	4
What is the color of the person's sweater?	What color person's sweater?	5	5
What is the occasion?	What time  the occasion?	4	4
What is in the sky?	What is in the ?	1	1
Did the man turn his back?	Did man turn back?	4	4
Is he riding a wave?	Is he riding a ?	3	3
What is the quiche made of?	How many  the quiche made of?	3	4
Is the eye of the giraffe open?	Is the eye of the giraffe ?	2	4
What kind of nature is featured in the background?	What brand  of nature is featured in the background?	5	4
Are all the train cars the same color?	train cars color?	4	3
Is there a horse on the chair?	horse chair?	2	2
Is this a ferry boat?	ferry boat?	3	3
What color is her wristband?	What does  is her wristband?	3	3
Which of the 3 men's body look funny?	Which of the 3 men's body look ?	3	3
What type of food is this?	What type of food is ?	3	3
Does the whole donut fit in the man's mouth?	What kind  the whole donut fit in the man's mouth?	4	4
How many people are in the photo?	many people photo?	4	4
What are the benches used for?	Is there  the benches used for?	4	3
Is it daytime?	daytime?	3	3
Is the owl a very old sculpture?	owl old sculpture?	3	2
What's this vase made of?	What's this vase made ?	4	4
What is the orange vegetable?	What orange vegetable?	3	4
Is the water calm?	Does  water calm?	4	4
Does the train have to obey the stop sign?	train obey stop sign?	4	4
What color is the umbrella?	What color umbrella?	5	5
Is this man wearing a hat?	Why this man wearing a hat?	5	5
Is the train in motion?	Is there  train in motion?	5	5
What kind of event is happening in the photo?	What kind event happening photo?	4	4
What color is the fire hydrant?	What color is the fire ?	5	5
Who is the sponsor of this match?	Who is the sponsor of this ?	5	3
Why is the person in the air?	What are  is the person in the air?	3	4
Is that the proper location for toilet paper?	Is there that the proper location for toilet paper?	5	5
What are the objects in the picture?	Is there  the objects in the picture?	4	4
What colors are the tiles?	Is there t colors are the tiles?	3	3
What is open?	What open?	2	2
Is that a fruit?	What are that a fruit?	4	5
What kind of bird species is this?	What kind bird species this?	4	4
Is the woman using a cell phone to take a photo?	woman using cell phone take photo?	5	5
Is there any sand that is moist?	Why  any sand that is moist?	3	4
Is the horse sleeping?	What kind  horse sleeping?	3	3
Is this a professional photo?	professional photo?	3	3
What color is the surfer wearing?	What animal  is the surfer wearing?	3	3
Is this in the Summer?	Summer?	2	2
Is this a rural area?	Is this a rural ?	3	3
What is in the cup?	What is in the ?	2	2
What is covering the ground?	What covering ground?	5	5
Is the egg scrambled?	Is the egg ?	3	3
What color is the oven?	What color oven?	4	4
What type of trees are in the foreground?	What type trees foreground?	5	5
What fruit is present?	Are t fruit is present?	3	3
What color is the umpire's face mask?	What color umpire's face mask?	4	4
What number is on his shirt?	What number is on his ?	3	3
Why is the third person so hard to see?	Why third person hard see?	3	3
What color is the wall on right?	What brand  is the wall on right?	5	5
Is the bear in the wild?	Is the bear in the ?	2	2
What type of insect is the one in the picture?	What type insect one picture?	5	4
Is the picture blurry?	picture blurry?	4	4
Where are the elephants?	Where elephants?	3	3
What is the pattern on the necktie?	What kind  the pattern on the necktie?	5	5
What base are the players at?	What base players at?	4	3
What number is on the train?	What number is on the ?	2	2
Is the water chopping?	Is the water ?	1	1
Is that a fork or a spoon?	Is that a fork or a ?	3	3
How are the carrots prepared in the plate?	carrots prepared plate?	2	2
Does the paddle make him go faster?	Is there  the paddle make him go faster?	3	3
What number is visible on the young boy's sweatshirt?	What number is visible on the young boy's ?	3	3
Is there a Pepsi logo sign anywhere?	Who  a Pepsi logo sign anywhere?	3	4
Where is the Halloween plate?	What animal  is the Halloween plate?	4	3
How many cell phones are there?	What are  cell phones are there?	2	2
Is there a hot dog beneath all of the condiments?	What type  a hot dog beneath all of the condiments?	4	5
What color is the frisbee in the photo?	What color is the frisbee in the ?	3	4
What are the sticks these people are holding called?	What are the sticks these people are holding ?	5	5
If he falls from ten feet, will he likely be okay?	Where he falls from ten feet, will he likely be okay?	5	5
What does the store in the front right sell?	Is there  the store in the front right sell?	3	3
Is this messy?	Is this ?	1	1
Is the person sitting down?	person sitting down?	3	3
Are there stairs in this home?	Are there stairs in this ?	4	4
What is the cookware made of?	What cookware made of?	5	3
How many stickers are on the bananas?	How many stickers are on the ?	3	3
Is there carpet on the floor?	Is there carpet on the ?	3	3
What color are the mans socks?	How many  are the mans socks?	3	5
Are they on the field?	What brand  they on the field?	3	3
What pattern is the man's shirt?	What pattern man's shirt?	5	5
How many signals are working?	How many signals are ?	4	3
Is this a team sport?	What animal this a team sport?	2	2
What kind of food is being prepared?	What kind of food is being ?	3	3
What is the rough age of this man?	Do  the rough age of this man?	3	3
Is this bear old?	bear old?	3	4
Is this person angry?	What is this person angry?	3	3
How many planes are on the shown runway?	What type  planes are on the shown runway?	4	4
What are the little white things in the picture?	What are the little white things in the ?	3	3
Does the man have a mustache?	What time  the man have a mustache?	3	4
Should the toilet paper be changed?	toilet paper changed?	4	4
Are the people wearing helmets?	people wearing helmets?	5	5
What is the woman staring so intently at?	What is the woman staring so intently ?	4	4
Is this animal by itself?	Is this animal by ?	3	3
What is the liquid in the cupcake wrapper?	What is the liquid in the cupcake ?	5	5
What fruit is under the bananas?	What fruit is under the ?	3	3
How many giraffes heads are under the shade?	many giraffes heads shade?	5	4
Is lunch ready?	What is lunch ready?	3	3
How many legs should there be?	many legs be?	1	1
Is an apple in the hand?	apple hand?	1	1
Is the woman preparing a sandwich?	woman preparing sandwich?	3	3
Is the cat haunted by a glowing ghost?	Is the cat haunted by a glowing ?	4	4
How many planes are there?	many planes there?	3	4
How many thumbs are visible?	How many thumbs are ?	3	3
What state is this?	What state this?	2	2
Is the cat taking a nap?	cat taking nap?	4	4
Is the fridge void of magnets?	fridge void magnets?	4	2
How many animals are in this picture?	many animals picture?	2	2
What does the thermometer say?	What thermometer say?	5	5
What veggies is beside the oranges?	What veggies beside oranges?	4	5
What profession is the driver of the motorcycle?	Is the t profession is the driver of the motorcycle?	2	2
How many giraffes are there?	Why  giraffes are there?	3	5
What sport is displayed in the picture?	What sport displayed picture?	4	4
Does she look happy?	look happy?	3	3
Is the elephant larger than usual?	Is the elephant larger than ?	3	3
What kind of dessert is depicted in this photo?	What kind of dessert is depicted in this ?	4	4
What material that you see, is illegal to purchase in much of the world?	What material see, illegal purchase much world?	2	2
Is the plane taking off or landing?	Does  plane taking off or landing?	5	5
What is green on the cake?	What is green on the ?	3	3
Is she wearing makeup?	wearing makeup?	3	3
What's on the head of the batter?	What's head batter?	2	5
How many planes are there?	many planes there?	4	4
Is the door open?	Who  door open?	3	3
What happened to the crust?	What happened crust?	2	2
What color are the flowers?	What brand  are the flowers?	4	3
Is the cat the same color as the sink?	cat color sink?	1	1
What color are the woman's eyes?	What does  are the woman's eyes?	3	3
What color are the flowers?	What color are the ?	2	2
What does ABC stand for on the plane?	What ABC stand plane?	3	2
How many people are wearing glasses?	How many people are wearing ?	2	2
Is this kitchen clean enough that you could eat off the floor?	Is there this kitchen clean enough that you could eat off the floor?	4	4
Is there a foot on the skateboard?	foot skateboard?	3	3
What are the zebras doing?	What time  the zebras doing?	2	2
Are these people motorists?	people motorists?	4	3
What type of topping is on the donut?	What type of topping is on the ?	3	3
How many flowers are in the vase?	How many flowers are in the ?	3	3
What number is on the uniform?	What number is on the ?	3	3
What is the toy bear doing?	What is the toy bear ?	3	3
Why is the image blurry?	Is the  is the image blurry?	4	4
Is the bear a gift?	What brand  bear a gift?	3	4
What color is the container?	What does  is the container?	3	3
Where is the red ceiling?	Are  is the red ceiling?	4	4
Are the sheep resting?	Are the sheep ?	2	2
Are there multiple planes?	multiple planes?	3	3
Are there glass bottles on the ground?	Are there glass bottles on the ?	3	3
Are these men part of a group?	men part group?	3	4
What is the healthy food item?	What healthy food item?	5	5
How many umbrellas can be seen?	many umbrellas seen?	4	4
Is the room clean?	room clean?	5	4
What kind of vehicle is pictured?	What kind of vehicle is ?	3	3
What breed is the dog?	What breed is the ?	2	2
What is the guy doing?	What guy doing?	4	5
What is the fabric on his chair?	What fabric chair?	5	5
Are all the window shades open the same amount?	window shades open amount?	4	4
Is this a pasture?	Is this a ?	1	1
Is this London?	Is this ?	1	1
Where was this photo taken?	What does  was this photo taken?	3	2
Is there a dog in the picture?	Are  a dog in the picture?	4	4
Is the water calm or choppy?	Is the water calm or ?	3	3
Is the dishwasher in the kitchen?	Is the dishwasher in the ?	3	3
What kind of flowers are in the vase?	Are  of flowers are in the vase?	3	4
Is the man obstructed from typing?	man obstructed typing?	3	3
Why there are no leaves on the tree?	Why leaves tree?	3	3
What species is the animal?	What species is the ?	2	3
How many people are on the bike?	many people bike?	3	3
What's on the plate?	What time t's on the plate?	2	4
Are there people in the street?	Are there people in the ?	3	3
What is the name of the purple vegetable?	What name purple vegetable?	4	4
Is the door narrow?	Is the door ?	3	3
What is behind the cow?	What behind cow?	4	4
What are the girls doing?	What girls doing?	4	4
What color are the stripes?	What color stripes?	4	5
What kind of field is the man flying the kite on?	What kind field man flying kite on?	3	5
What color is the man's pants?	What color man's pants?	4	4
Is there a small table in the back corner of the picture?	small table back corner picture?	3	3
What color is on the engine?	What color is on the ?	2	2
Is the man dressed formally?	man dressed formally?	4	4
What color is the water?	What color water?	5	5
Is this a duck or a goose?	Is this a duck or a ?	3	3
What type of flower is present?	What is  of flower is present?	3	3
Is the skier squatting?	skier squatting?	4	4
Is this ad for an American restaurant?	What is this ad for an American restaurant?	4	4
What is in the air?	What is in the ?	2	2
Is that a man?	Is that a ?	1	1
Is this a vegetarian meal?	vegetarian meal?	4	4
How many surfboards are there?	How many surfboards are ?	4	4
What kind of flowers are pictured?	Is there  of flowers are pictured?	3	4
What color are his pants?	What color pants?	5	5
Are there windmills pictured?	Are there windmills ?	5	5
How many sailboats are in the picture?	How many sailboats are in the ?	4	3
Is he wearing a shirt?	Is he wearing a ?	3	3
Does this bus have two floors?	What time  this bus have two floors?	3	3
Is he hungry?	Is he ?	3	3
Did the man pull the horse?	Did the man pull the ?	3	3
What is on the ground?	What is on the ?	3	3
Is the laptop on?	laptop on?	3	3
What is the toilet missing?	Are  the toilet missing?	3	3
Who is he looking at?	Who is he looking ?	4	4
Are they in traffic?	Is the  they in traffic?	4	4
Is the bottle a beverage, or a vase for flowers?	Is the bottle a beverage, or a vase for ?	4	4
What eating utensil is shown?	What eating utensil shown?	4	4
What kind of vehicle is parked on the sidewalk?	What kind vehicle parked sidewalk?	5	5
What is the weather like?	What is the weather ?	5	5
Is vegemite delicious?	What time vegemite delicious?	4	4
What is the surfer wearing?	What is the surfer ?	3	3
Is the bus currently picking up customers?	Is the bus currently picking up ?	5	5
Is the computer on?	Is the computer ?	3	3
Is this fried rice?	fried rice?	1	1
What color are the clouds?	What color are the ?	2	2
Are they swimming?	What animal  they swimming?	5	4
Is there an iPhone in this photo?	iPhone photo?	2	2
What sporting goods store is advertised?	What sporting goods store is ?	3	3
Are both cats looking out the window?	cats looking window?	4	5
What are the red items on top of the cakes?	What are the red items on top of the ?	3	3
Where are the horses going?	Where are the horses ?	4	4
What is in the glass behind the pizza?	What glass behind pizza?	3	4
What is the weather like?	What weather like?	4	4
What type of flowers are on the table?	What type of flowers are on the ?	3	3
Is there poop in the toilet?	poop toilet?	5	3
What is the man standing on?	What is the man standing ?	3	3
What is the man holding?	What man holding?	3	3
Is this a healthy meal?	Is this a healthy ?	4	2
Are there any people visible?	Where  there any people visible?	4	5
Are these elephants in captivity?	What kind  these elephants in captivity?	4	5
What does the street sign say?	What does the street sign ?	4	4
Do any girls live in the house?	Do any girls live in the ?	4	4
Is this a sports bar?	Is this a sports ?	2	2
What is the person selling?	What type  the person selling?	2	2
What are the zebras doing?	What are the zebras ?	3	3
What form of transportation is shown here?	What kind t form of transportation is shown here?	4	4
What type of peel is that?	What color  of peel is that?	5	5
What color are the stripes on the bus?	What color stripes bus?	4	4
What is behind the flowers?	What is behind the ?	2	2
Is anyone sitting on the bike?	Is anyone sitting on the ?	2	2
Where is the man standing?	Where man standing?	5	4
Is the child cooking?	Is the child ?	2	2
What animals are those in the background?	What color t animals are those in the background?	4	4
Is the baseball player safe?	baseball player safe?	3	4
What is this building?	Does  this building?	3	3
What color is the carpet?	What color is the ?	3	2
Is the man on the bend using a computer?	Is the man on the bend using a ?	2	2
What is he riding?	What color  he riding?	4	2
Is the man alone on the paddleboard?	Which  man alone on the paddleboard?	4	5
Is the donut covered in something?	Is the donut covered in ?	2	2
How many slices of pizza are left?	many slices pizza left?	5	4
Are they wearing safety gear?	wearing safety gear?	5	4
Is it a cloudy day?	What type it a cloudy day?	2	2
What is this man carrying?	What man carrying?	4	4
What is tied on the neck of the bear?	What is tied on the neck of the ?	2	2
Is the toilet seat up?	toilet seat up?	4	4
Is bacon healthy?	What brand bacon healthy?	5	5
What is the color scheme of this bathroom?	What is the color scheme of this ?	2	2
How much is the litter box?	How much is the litter ?	1	1
What is in the middle of the two animals?	What middle two animals?	4	4
What is in the bowl?	How many  in the bowl?	4	4
What kind of animal is that?	Does  of animal is that?	3	3
Is the plant real or fake?	plant real fake?	4	4
Are these donkey's or horses?	donkey's horses?	1	1
Is the bed made?	Is the bed ?	3	2
What is the number written on the front of the train?	What are  the number written on the front of the train?	5	5
Is this person wearing a helmet?	Is this person wearing a ?	3	3
How many plants are in the image?	Is the  plants are in the image?	3	4
Are the bananas ripe?	Are the bananas ?	2	2
Why is the payment shopping?	Why is the payment ?	3	3
What fruit is on the tree?	What fruit tree?	4	4
Is it raining?	raining?	3	4
Are there waves in the water?	What sport  there waves in the water?	3	3
Is the curtain open?	Is the curtain ?	2	2
What type of building is this?	Why  of building is this?	3	3
What is this lady doing?	What kind  this lady doing?	3	3
Is that a long dock?	long dock?	3	3
What is the man wearing?	What man wearing?	5	5
What is shining above the church?	What is shining above the ?	3	3
Is there any shadow on the ground?	Where  any shadow on the ground?	3	4
What is this boy doing?	What type  this boy doing?	3	3
What animals are seen?	What animals are ?	2	2
Why are they waiting for the bus?	Are  are they waiting for the bus?	4	4
Are these vegetables?	Are these ?	1	1
How fast is the ceiling fan moving?	How fast is the ceiling fan ?	5	5
What sport is she playing?	What sport playing?	5	5
Can you get your car washed here?	Can you get your car washed ?	5	5
How many people are in the picture?	many people picture?	4	4
What is in the water?	Is there  in the water?	3	2
Are all of the glasses on the tables empty?	glasses tables empty?	4	4
How many sinks are in the picture?	Why  sinks are in the picture?	5	5
Is the water clear?	water clear?	4	4
What street signs are visible?	What street signs are ?	4	3
What is in the black box?	What black box?	3	3
Would this be a good daily commuter?	Would this be a good daily ?	4	4
Are these boats tied up?	boats tied up?	5	4
Does this look like a beach?	look like beach?	5	5
What meal does this appear to be?	What meal appear be?	3	3
What pattern is on the man's shorts?	What color t pattern is on the man's shorts?	5	5
Are these teddy bears new?	Are these teddy bears ?	5	5
How old do you think the boy is?	old think boy is?	4	3
What team is this?	What is t team is this?	3	3
Is that an Asian guy?	Is that an Asian ?	3	2
What animal is dead?	What animal is ?	4	4
What is casting the shadow across the road?	What casting shadow across road?	5	5
What kind of terrain are they in?	What kind terrain in?	4	4
Is the plane white?	plane white?	4	4
How many giraffes in this picture?	How many giraffes in this ?	5	5
What is the main color of the bathroom tile?	Where  the main color of the bathroom tile?	4	4
What sport is being played?	Why  is being played?	2	3
What does the video souvenir cost?	What video souvenir cost?	3	3
What color are all the boys wearing?	What color are all the boys ?	3	3
What is mainly shown in the floor?	What mainly shown floor?	3	3
Is it cloudy?	cloudy?	5	3
Is that a crib?	How many that a crib?	3	3
Is there poop on the floor?	Is there poop on the ?	3	3
What color is the frisbee?	What color frisbee?	4	4
Does the cat's color match that of the couch?	Does the cat's color match that of the ?	2	2
What color is his shirt?	What color shirt?	4	4
Are there string lights behind the shades?	Who  there string lights behind the shades?	4	4
How many girls are under the blue and white umbrella?	How many girls are under the blue and white ?	3	3
Has the batter made the connection with the ball?	batter made connection ball?	2	2
What's the color of the flower?	What's color flower?	5	4
How many disks are in the foreground?	How many disks are in the ?	3	3
What is this picture of?	What does  this picture of?	3	2
Do the animals have a water source?	Do the animals have a water ?	3	3
Is this a long-board skateboard?	long-board skateboard?	3	3
Is the guy wearing shorts?	guy wearing shorts?	4	4
What is the girl holding?	Which  the girl holding?	3	3
What number is to the right of the 2?	What number is to the right of the ?	3	3
In what year was this picture taken?	Is the what year was this picture taken?	4	4
Who doesn't have skis on?	Who doesn't skis on?	4	4
Are the kids misbehaving?	kids misbehaving?	4	4
What color are the train cars?	What color train cars?	4	4
What is this person holding?	What person holding?	4	4
Is a sunny Day?	Does a sunny Day?	4	3
How many wall tiles are in the photo?	Which  wall tiles are in the photo?	4	4
What color is the monster truck?	What color monster truck?	5	5
What color is the board on the ground?	Are  is the board on the ground?	4	4
What color is the tail of the plane?	What color is the tail of the ?	3	3
Are these all goats?	Is there  these all goats?	3	4
Is there a tissue box here?	Is there a tissue box ?	5	5
Is the animal in the bushes?	What is  animal in the bushes?	4	4
What color is the animal in front?	What brand  is the animal in front?	3	3
What kind of cars are allowed to park here?	What kind cars allowed park here?	4	4
Does the flower need soil to survive?	Does the flower need soil to ?	3	3
What type of equipment is depicted on the man's tie?	What type of equipment is depicted on the man's ?	3	3
What are these buses called?	What buses called?	3	3
What color is the bus?	What color is the ?	2	2
Is this a long distance train?	long distance train?	4	3
What is on the plates?	What type  on the plates?	3	3
Is this the exit door?	exit door?	2	2
What is the table made of?	What is the table made ?	4	5
What are on their feet?	Where  on their feet?	3	2
What color are the woman's shoes?	What time  are the woman's shoes?	3	4
What is the thing in the front of the picture called?	What color  the thing in the front of the picture called?	4	4
Who owns the plane?	Who owns plane?	5	5
What number is in orange on the bus?	What number orange bus?	4	4
What other animals are there besides the zebras?	What animals besides zebras?	4	4
Is the dog sleeping?	What is  dog sleeping?	4	4
Do you see the float?	Which  you see the float?	2	2
What animal is that?	What color  is that?	3	2
If I parked my car by the green post, would I likely get a ticket?	If I parked my car by the green post, would I likely get a ?	4	4
Is this a full size bus?	full size bus?	3	3
What color is the roof?	What color roof?	4	4
Did she hit the ball?	What are  she hit the ball?	3	3
What is displayed in the store window?	What displayed store window?	4	4
Are there sandals in the picture?	sandals picture?	4	4
What is the transport seen?	What is the transport ?	3	3
Do you see any planes?	see planes?	3	4
Is the man wearing socks?	man wearing socks?	4	4
Are the zebras grooming each other?	zebras grooming other?	3	4
Is there a plane in the sky?	Is there a plane in the ?	4	3
How many skateboards are under the man?	How many skateboards are under the ?	4	4
Is fruit on the woman's plate?	Is fruit on the woman's ?	2	2
What hand is the person holding the knife in?	What hand is the person holding the knife ?	5	5
Which animal is the tallest?	How many  animal is the tallest?	3	3
What is the number on the first bus?	What does  the number on the first bus?	4	4
Are these professional baseball players?	Are these professional baseball ?	3	4
Is this furniture available from Ikea?	Is this furniture available from ?	2	2
What two vehicles are in the picture?	What two vehicles are in the ?	3	3
Where are the horses at?	Where horses at?	2	2
What number is on the plane?	What animal t number is on the plane?	2	4
Are there four pillows on the bed?	Are there four pillows on the ?	3	3
What is the man doing?	What man doing?	4	4
Is the man in the green shirt watching TV?	Is the man in the green shirt watching ?	4	5
What dairy product is on this pizza?	What dairy product pizza?	4	4
Which side is the driver on?	Are  side is the driver on?	5	4
How many people are under the umbrella?	Which  people are under the umbrella?	3	4
What's the man throwing?	What's man throwing?	5	5
Is this window easy to break?	window easy break?	2	2
Are these military planes?	military planes?	5	3
What is he wearing?	What wearing?	2	2
Where is the cat?	Where is the ?	1	1
Are the appliances stainless steel?	Are the appliances stainless ?	5	5
Is there a microwave on the counter?	microwave counter?	2	2
What kind of horse is in the stall?	What kind of horse is in the ?	4	3
Does everyone have an umbrella?	Does everyone have an ?	2	5
Is the cake for someone's birthday?	What is  cake for someone's birthday?	2	2
Is the fence made of bamboo?	What type  fence made of bamboo?	4	5
Does the keyboard on the laptop work?	Does the keyboard on the laptop ?	3	4
What sport is being played on the TV?	What is  is being played on the TV?	5	5
What are they playing?	Where  they playing?	5	5
When were these objects placed on the lawn?	objects placed lawn?	3	3
Are there white lines on the ground?	white lines ground?	3	3
Is it daytime?	Is it ?	1	1
Is the person touching the ground?	person touching ground?	2	2
Is that coffee black?	Is that coffee ?	3	5
What animal is this?	What brand  is this?	3	3
Has the stop sign been vandalized?	stop sign vandalized?	4	4
What is on top of the hydrant?	What top hydrant?	2	2
Is road work being performed?	road work performed?	3	3
What day of the week is it?	What day of the week is ?	3	3
What color is the bracelet?	What color bracelet?	5	5
Is the girl holding a bat?	What are  girl holding a bat?	3	3
What is the name written on the back of number 26?	What is the name written on the back of number ?	5	5
What race is this man?	What time t race is this man?	2	2
What is the time shown on the clock?	What is the time shown on the ?	4	3
Are those human hands on the table?	Are those human hands on the ?	3	3
What is the skateboarder doing?	What brand  the skateboarder doing?	3	3
What color jersey is the catcher wearing?	What color jersey catcher wearing?	5	5
How many windows is there?	Do  windows is there?	4	4
Is he a real cowboy?	Which he a real cowboy?	3	4
What color is the fence?	What color is the ?	2	2
How many zebras?	What color  zebras?	5	5
What kind of sandwich is that?	What kind sandwich that?	4	4
What kind of animal is pictured?	Do  of animal is pictured?	2	2
What word is on the train?	Which t word is on the train?	3	3
Is this a salad?	salad?	3	3
What color is the man's hair?	What color is the man's ?	3	3
What color are the curtains in the dining room?	What type  are the curtains in the dining room?	5	5
What color are the flowers in the vase?	What color flowers vase?	3	3
Is this a motorcycle race?	motorcycle race?	3	3
How old is the girl?	old girl?	3	3
What color is the chair?	What color chair?	5	5
What color is the woman's hat?	What color is the woman's ?	2	2
What is this appliance used for?	What animal  this appliance used for?	3	3
What color is the horse?	Is the  is the horse?	3	3
How many trains are there?	How many trains are ?	4	3
Are there many vehicles shown?	Are there many vehicles ?	5	5
What color is the sky?	Do  is the sky?	3	3
Can you see fish in the lake?	see fish lake?	5	4
How many different type of computers are there?	How many different type of computers are ?	4	4
How many pictures are hung on the wall?	What sport  pictures are hung on the wall?	5	5
How many people are on the bike?	How many people are on the ?	3	3
What sport are they playing?	What brand  are they playing?	3	3
Is this bear at the zoo?	Is this bear at the ?	3	3
What color is the handle on the side by the door?	What color is the handle on the side by the ?	3	3
What is the cat sitting on?	What cat sitting on?	4	4
Is the man wearing any hat?	man wearing hat?	5	5
Is there any person trying to jump into the train tracks?	person trying jump train tracks?	5	4
What is in the bowl next to the chips?	Do  in the bowl next to the chips?	3	3
What is the name of the street?	Which  the name of the street?	4	4
Is the man protecting the cigarette machine?	Is the man protecting the cigarette ?	5	5
What transport is showing?	Why t transport is showing?	4	4
Are the vines cracking the walls?	What color  the vines cracking the walls?	4	4
What is the skateboarder doing?	Does  the skateboarder doing?	3	3
What is the man riding on?	What man riding on?	5	4
Are the people outside?	What type  the people outside?	4	4
Is the man an expert surfer?	Does  man an expert surfer?	4	4
Is this a tunnel?	What brand this a tunnel?	3	3
Where is the toothbrush?	Is there  is the toothbrush?	3	4
Who owns the plane?	Who owns the ?	2	2
Is the sky blue?	Is the sky ?	2	2
Is this room move in ready?	Is this room move in ?	4	4
How many people?	What time  people?	2	3
Is there an benches on the platform?	Does  an benches on the platform?	2	2
Is it a foggy day?	foggy day?	4	4
Was this photo taken in North America?	photo taken North America?	4	4
Where will the skateboard land?	Where will the skateboard ?	3	3
Is there a drink?	drink?	4	4
What sport is being played?	What sport is being ?	4	3
Do the cows look like twins?	Do the cows look like ?	3	3
Is the animal a sheep?	What kind  animal a sheep?	4	5
Does it look like it's going to rain?	How many  it look like it's going to rain?	3	3
